Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1990,01,16.0,Y
IDCJAC0001,033119,1990,02,128.4,Y
IDCJAC0001,033119,1990,03,419.0,Y
IDCJAC0001,033119,1990,04,263.6,Y
IDCJAC0001,033119,1990,05,333.2,Y
IDCJAC0001,033119,1990,06,118.4,Y
IDCJAC0001,033119,1990,07,44.6,Y
IDCJAC0001,033119,1990,08,7.6,Y
IDCJAC0001,033119,1990,09,25.0,Y
IDCJAC0001,033119,1990,10,27.0,Y
IDCJAC0001,033119,1990,11,2.0,Y
IDCJAC0001,033119,1990,12,1158.6,Y
IDCJAC0001,033119,1991,01,821.0,Y
IDCJAC0001,033119,1991,02,761.0,Y
IDCJAC0001,033119,1991,03,36.4,Y
IDCJAC0001,033119,1991,04,146.2,Y
IDCJAC0001,033119,1991,05,91.2,Y
IDCJAC0001,033119,1991,06,31.0,Y
IDCJAC0001,033119,1991,07,26.4,Y
IDCJAC0001,033119,1991,08,7.6,Y
IDCJAC0001,033119,1991,09,0.2,Y
IDCJAC0001,033119,1991,10,7.0,Y
IDCJAC0001,033119,1991,11,229.2,Y
IDCJAC0001,033119,1991,12,100.8,Y
IDCJAC0001,033119,1992,01,20.4,Y
IDCJAC0001,033119,1992,02,190.2,Y
IDCJAC0001,033119,1992,03,279.0,Y
IDCJAC0001,033119,1992,04,179.8,Y
IDCJAC0001,033119,1992,05,144.4,Y
IDCJAC0001,033119,1992,06,18.8,Y
IDCJAC0001,033119,1992,07,8.0,Y
IDCJAC0001,033119,1992,08,8.6,Y
IDCJAC0001,033119,1992,09,24.0,Y
IDCJAC0001,033119,1992,10,8.2,Y
IDCJAC0001,033119,1992,11,6.0,Y
IDCJAC0001,033119,1992,12,156.4,Y
IDCJAC0001,033119,1993,01,400.8,Y
IDCJAC0001,033119,1993,02,73.2,Y
IDCJAC0001,033119,1993,03,92.6,Y
IDCJAC0001,033119,1993,04,183.6,Y
IDCJAC0001,033119,1993,05,95.8,Y
IDCJAC0001,033119,1993,06,76.0,Y
IDCJAC0001,033119,1993,07,31.2,Y
IDCJAC0001,033119,1993,08,39.4,Y
IDCJAC0001,033119,1993,09,25.2,Y
IDCJAC0001,033119,1993,10,52.4,Y
IDCJAC0001,033119,1993,11,84.4,Y
IDCJAC0001,033119,1993,12,191.0,Y
IDCJAC0001,033119,1994,01,105.0,Y
IDCJAC0001,033119,1994,02,283.0,Y
IDCJAC0001,033119,1994,03,258.8,Y
IDCJAC0001,033119,1994,04,143.6,Y
IDCJAC0001,033119,1994,05,117.6,Y
IDCJAC0001,033119,1994,06,26.0,Y
IDCJAC0001,033119,1994,07,28.0,Y
IDCJAC0001,033119,1994,08,2.6,Y
IDCJAC0001,033119,1994,09,2.2,Y
IDCJAC0001,033119,1994,10,27.0,Y
IDCJAC0001,033119,1994,11,25.0,Y
IDCJAC0001,033119,1994,12,140.8,Y
IDCJAC0001,033119,1995,01,133.8,Y
IDCJAC0001,033119,1995,02,313.0,Y
IDCJAC0001,033119,1995,03,40.8,Y
IDCJAC0001,033119,1995,04,39.2,Y
IDCJAC0001,033119,1995,05,92.8,Y
